dataset,method,timeSlice,GT_predict,TRUE
Boring,nltk_0.40,37,0.28,0.29
Boring,nltk_0.40,38,0.28,0.00
Boring,nltk_0.40,39,0.28,0.08
Boring,nltk_0.40,40,0.27,0.00
Boring,nltk_0.40,41,0.27,0.34
Boring,nltk_0.40,42,0.27,0.22
Boring,nltk_0.40,43,0.27,0.10
Boring,nltk_0.40,44,0.27,0.44
Boring,nltk_0.40,45,0.27,1.00
Boring,nltk_0.60,1,0.81,0.89
Boring,nltk_0.60,2,0.82,0.92
Boring,nltk_0.60,3,0.85,1.00
Boring,nltk_0.60,4,0.81,0.82
Boring,nltk_0.60,5,0.74,0.64
Boring,nltk_0.60,6,0.76,1.00
Boring,nltk_0.60,7,0.63,0.74
Boring,nltk_0.60,8,0.55,0.57
Boring,nltk_0.60,9,0.52,0.62
Boring,nltk_0.60,10,0.46,0.45
Boring,nltk_0.60,11,0.46,0.50
Boring,nltk_0.60,12,0.47,0.83
Boring,nltk_0.60,13,0.47,0.58
Boring,nltk_0.60,14,0.46,0.45
Boring,nltk_0.60,15,0.46,0.50
Boring,nltk_0.60,16,0.46,0.67
Boring,nltk_0.60,17,0.45,0.42
Boring,nltk_0.60,18,0.45,0.56
Boring,nltk_0.60,19,0.44,0.45
Boring,nltk_0.60,20,0.44,0.36
Boring,nltk_0.60,21,0.44,0.49
Boring,nltk_0.60,22,0.43,0.41
Boring,nltk_0.60,23,0.42,0.45
Boring,nltk_0.60,24,0.42,0.57
Boring,nltk_0.60,25,0.42,0.53
Boring,nltk_0.60,26,0.42,0.31
Boring,nltk_0.60,27,0.41,0.18
Boring,nltk_0.60,28,0.38,0.39
Boring,nltk_0.60,29,0.38,0.40
Boring,nltk_0.60,30,0.38,0.31
Boring,nltk_0.60,31,0.37,0.11
Boring,nltk_0.60,32,0.36,0.00
Boring,nltk_0.60,33,0.36,0.23
Boring,nltk_0.60,34,0.36,0.32
Boring,nltk_0.60,35,0.36,0.50
Boring,nltk_0.60,36,0.35,0.35
Boring,nltk_0.60,37,0.35,0.29
Boring,nltk_0.60,38,0.34,0.09
Boring,nltk_0.60,39,0.34,0.08
Boring,nltk_0.60,40,0.33,0.23
Boring,nltk_0.60,41,0.33,0.41
Boring,nltk_0.60,42,0.33,0.22
Boring,nltk_0.60,43,0.33,0.20
Boring,nltk_0.60,44,0.33,0.47
Boring,nltk_0.60,45,0.33,1.00
Boring,nltk_0.80,1,0.81,0.89
Boring,nltk_0.80,2,0.82,0.92
Boring,nltk_0.80,3,0.85,1.00
Boring,nltk_0.80,4,0.81,0.82
Boring,nltk_0.80,5,0.74,0.64
Boring,nltk_0.80,6,0.76,1.00
Boring,nltk_0.80,7,0.63,0.74
Boring,nltk_0.80,8,0.55,0.57
Boring,nltk_0.80,9,0.52,0.62
Boring,nltk_0.80,10,0.46,0.45
Boring,nltk_0.80,11,0.46,0.50
Boring,nltk_0.80,12,0.47,0.83
Boring,nltk_0.80,13,0.47,0.58
Boring,nltk_0.80,14,0.46,0.45
Boring,nltk_0.80,15,0.46,0.50
Boring,nltk_0.80,16,0.46,0.67
Boring,nltk_0.80,17,0.45,0.42
Boring,nltk_0.80,18,0.45,0.56
Boring,nltk_0.80,19,0.44,0.45
Boring,nltk_0.80,20,0.44,0.36
Boring,nltk_0.80,21,0.44,0.49
Boring,nltk_0.80,22,0.43,0.41
Boring,nltk_0.80,23,0.42,0.45
Boring,nltk_0.80,24,0.42,0.57
Boring,nltk_0.80,25,0.42,0.53
Boring,nltk_0.80,26,0.42,0.31
Boring,nltk_0.80,27,0.41,0.18
Boring,nltk_0.80,28,0.38,0.39
Boring,nltk_0.80,29,0.38,0.40
Boring,nltk_0.80,30,0.38,0.31
Boring,nltk_0.80,31,0.37,0.11
Boring,nltk_0.80,32,0.36,0.00
Boring,nltk_0.80,33,0.36,0.23
Boring,nltk_0.80,34,0.36,0.32
Boring,nltk_0.80,35,0.36,0.50
Boring,nltk_0.80,36,0.35,0.35
Boring,nltk_0.80,37,0.35,0.29
Boring,nltk_0.80,38,0.34,0.09
Boring,nltk_0.80,39,0.34,0.08
Boring,nltk_0.80,40,0.33,0.23
Boring,nltk_0.80,41,0.33,0.41
Boring,nltk_0.80,42,0.33,0.22
Boring,nltk_0.80,43,0.33,0.20
Boring,nltk_0.80,44,0.33,0.47
Boring,nltk_0.80,45,0.33,1.00
Boring,word2vec_0.20,1,0.05,0.19
Boring,word2vec_0.20,2,0.02,0.00
Boring,word2vec_0.20,3,0.02,0.00
Boring,word2vec_0.20,4,0.03,0.09
Boring,word2vec_0.20,5,0.04,0.07
Boring,word2vec_0.20,6,0.05,0.38
Boring,word2vec_0.20,7,0.03,0.04
Boring,word2vec_0.20,8,0.03,0.07
Boring,word2vec_0.20,9,0.03,0.02
Boring,word2vec_0.20,10,0.02,0.01
Boring,word2vec_0.20,11,0.02,0.14
Boring,word2vec_0.20,12,0.02,0.03
Boring,word2vec_0.20,13,0.02,0.08
Boring,word2vec_0.20,14,0.02,0.00
Boring,word2vec_0.20,15,0.02,0.00
Boring,word2vec_0.20,16,0.02,0.07
Boring,word2vec_0.20,17,0.02,0.04
Boring,word2vec_0.20,18,0.02,0.00
Boring,word2vec_0.20,19,0.02,0.00
Boring,word2vec_0.20,20,0.02,0.00
Boring,word2vec_0.20,21,0.02,0.03
Boring,word2vec_0.20,22,0.02,0.00
Boring,word2vec_0.20,23,0.02,0.09
Boring,word2vec_0.20,24,0.02,0.02
Boring,word2vec_0.20,25,0.02,0.00
Boring,word2vec_0.20,26,0.02,0.00
Boring,word2vec_0.20,27,0.02,0.09
Boring,word2vec_0.20,28,0.02,0.05
Boring,word2vec_0.20,29,0.02,0.00
Boring,word2vec_0.20,30,0.02,0.03
Boring,word2vec_0.20,31,0.02,0.00
Boring,word2vec_0.20,32,0.02,0.00
