dataset,method,timeSlice,GT_predict,TRUE
Boring,word2vec_0.20,28,0.018,0.028
Boring,word2vec_0.20,29,0.018,0.000
Boring,word2vec_0.20,30,0.019,0.059
Boring,word2vec_0.20,31,0.021,0.037
Boring,word2vec_0.20,32,0.020,0.000
Boring,word2vec_0.20,33,0.020,0.000
Boring,word2vec_0.20,34,0.019,0.043
Boring,word2vec_0.20,35,0.020,0.182
Boring,word2vec_0.20,36,0.019,0.000
Boring,word2vec_0.20,37,0.019,0.000
Boring,word2vec_0.20,38,0.019,0.000
Boring,word2vec_0.20,39,0.020,0.111
Boring,word2vec_0.20,40,0.021,0.029
Boring,word2vec_0.20,41,0.021,0.143
Boring,word2vec_0.20,42,0.021,0.000
Boring,word2vec_0.20,43,0.021,0.000
Boring,word2vec_0.20,44,0.020,0.000
Boring,word2vec_0.20,45,0.020,0.000
Boring,word2vec_0.30,1,0.300,0.500
Boring,word2vec_0.30,2,0.263,0.444
Boring,word2vec_0.30,3,0.222,0.250
Boring,word2vec_0.30,4,0.147,0.143
Boring,word2vec_0.30,5,0.081,0.115
Boring,word2vec_0.30,6,0.061,0.000
Boring,word2vec_0.30,7,0.055,0.000
Boring,word2vec_0.30,8,0.048,0.063
Boring,word2vec_0.30,9,0.040,0.087
Boring,word2vec_0.30,10,0.044,0.091
Boring,word2vec_0.30,11,0.066,0.667
Boring,word2vec_0.30,12,0.074,0.200
Boring,word2vec_0.30,13,0.077,0.200
Boring,word2vec_0.30,14,0.070,0.061
Boring,word2vec_0.30,15,0.067,0.000
Boring,word2vec_0.30,16,0.063,0.077
Boring,word2vec_0.30,17,0.042,0.078
Boring,word2vec_0.30,18,0.039,0.000
Boring,word2vec_0.30,19,0.038,0.000
Boring,word2vec_0.30,20,0.034,0.000
Boring,word2vec_0.30,21,0.035,0.050
Boring,word2vec_0.30,22,0.033,0.036
Boring,word2vec_0.30,23,0.033,0.031
Boring,word2vec_0.30,24,0.036,0.107
Boring,word2vec_0.30,25,0.036,0.000
Boring,word2vec_0.30,26,0.034,0.000
Boring,word2vec_0.30,27,0.031,0.041
Boring,word2vec_0.30,28,0.029,0.028
Boring,word2vec_0.30,29,0.027,0.000
Boring,word2vec_0.30,30,0.028,0.059
Boring,word2vec_0.30,31,0.028,0.045
Boring,word2vec_0.30,32,0.028,0.000
Boring,word2vec_0.30,33,0.027,0.000
Boring,word2vec_0.30,34,0.025,0.043
Boring,word2vec_0.30,35,0.027,0.182
Boring,word2vec_0.30,36,0.025,0.000
Boring,word2vec_0.30,37,0.025,0.000
Boring,word2vec_0.30,38,0.025,0.000
Boring,word2vec_0.30,39,0.026,0.111
Boring,word2vec_0.30,40,0.024,0.029
Boring,word2vec_0.30,41,0.024,0.143
Boring,word2vec_0.30,42,0.024,0.000
Boring,word2vec_0.30,43,0.023,0.000
Boring,word2vec_0.30,44,0.023,0.000
