dataset,method,timeSlice,GT_predict,true
Normal,word2vec_0.90,13,44.4444444444%,48.275862069%
Normal,word2vec_0.90,14,41.40969163%,0.0%
Normal,word2vec_0.90,15,39.406779661%,11.1111111111%
Normal,word2vec_0.90,16,38.3064516129%,33.3333333333%
Normal,word2vec_0.90,17,40.0%,83.3333333333%
NewAtEnd,word2vec_0.20,1,0.0%,12.5%
NewAtEnd,word2vec_0.20,2,3.84615384615%,10.0%
NewAtEnd,word2vec_0.20,3,4.44444444444%,10.5263157895%
NewAtEnd,word2vec_0.20,4,5.1724137931%,7.69230769231%
NewAtEnd,word2vec_0.20,5,5.79710144928%,9.09090909091%
NewAtEnd,word2vec_0.20,6,3.8961038961%,0.0%
NewAtEnd,word2vec_0.20,7,3.9603960396%,8.33333333333%
NewAtEnd,word2vec_0.20,8,5.1724137931%,13.3333333333%
NewAtEnd,word2vec_0.20,9,4.72440944882%,0.0%
NewAtEnd,word2vec_0.20,10,3.7037037037%,0.0%
NewAtEnd,word2vec_0.20,11,4.05405405405%,7.69230769231%
NewAtEnd,word2vec_0.20,12,5.06329113924%,20.0%
NewAtEnd,word2vec_0.20,13,4.81927710843%,0.0%
NewAtEnd,word2vec_0.20,14,4.0%,8.82352941176%
NewAtEnd,word2vec_0.20,15,3.57142857143%,4.16666666667%
NewAtEnd,word2vec_0.20,16,4.03225806452%,12.5%
NewAtEnd,word2vec_0.20,17,3.84615384615%,0.0%
NewAtEnd,word2vec_0.30,1,0.0%,12.5%
NewAtEnd,word2vec_0.30,2,11.5384615385%,30.0%
NewAtEnd,word2vec_0.30,3,8.88888888889%,15.7894736842%
NewAtEnd,word2vec_0.30,4,8.62068965517%,7.69230769231%
NewAtEnd,word2vec_0.30,5,10.1449275362%,18.1818181818%
NewAtEnd,word2vec_0.30,6,7.79220779221%,0.0%
NewAtEnd,word2vec_0.30,7,7.92079207921%,16.6666666667%
NewAtEnd,word2vec_0.30,8,7.75862068966%,13.3333333333%
NewAtEnd,word2vec_0.30,9,7.08661417323%,0.0%
NewAtEnd,word2vec_0.30,10,5.92592592593%,0.0%
NewAtEnd,word2vec_0.30,11,6.75675675676%,15.3846153846%
NewAtEnd,word2vec_0.30,12,7.59493670886%,20.0%
NewAtEnd,word2vec_0.30,13,6.6265060241%,0.0%
NewAtEnd,word2vec_0.30,14,5.5%,11.7647058824%
NewAtEnd,word2vec_0.30,15,6.25%,16.6666666667%
NewAtEnd,word2vec_0.30,16,6.45161290323%,16.6666666667%
NewAtEnd,word2vec_0.30,17,6.15384615385%,0.0%
NewAtEnd,word2vec_0.40,1,6.25%,18.75%
NewAtEnd,word2vec_0.40,2,19.2307692308%,40.0%
NewAtEnd,word2vec_0.40,3,20.0%,26.3157894737%
NewAtEnd,word2vec_0.40,4,17.2413793103%,23.0769230769%
NewAtEnd,word2vec_0.40,5,17.3913043478%,18.1818181818%
NewAtEnd,word2vec_0.40,6,16.8831168831%,25.0%
NewAtEnd,word2vec_0.40,7,15.8415841584%,25.0%
NewAtEnd,word2vec_0.40,8,14.6551724138%,20.0%
NewAtEnd,word2vec_0.40,9,13.3858267717%,0.0%
NewAtEnd,word2vec_0.40,10,11.8518518519%,0.0%
NewAtEnd,word2vec_0.40,11,10.1351351351%,7.69230769231%
NewAtEnd,word2vec_0.40,12,10.1265822785%,30.0%
NewAtEnd,word2vec_0.40,13,10.2409638554%,25.0%
NewAtEnd,word2vec_0.40,14,9.0%,14.7058823529%
NewAtEnd,word2vec_0.40,15,9.82142857143%,20.8333333333%
NewAtEnd,word2vec_0.40,16,9.27419354839%,16.6666666667%
NewAtEnd,word2vec_0.40,17,9.23076923077%,16.6666666667%
NewAtEnd,word2vec_0.50,1,6.25%,37.5%
NewAtEnd,word2vec_0.50,2,19.2307692308%,40.0%
NewAtEnd,word2vec_0.50,3,22.2222222222%,31.5789473684%
NewAtEnd,word2vec_0.50,4,18.9655172414%,23.0769230769%
NewAtEnd,word2vec_0.50,5,20.2898550725%,27.2727272727%
NewAtEnd,word2vec_0.50,6,22.0779220779%,37.5%
NewAtEnd,word2vec_0.50,7,20.7920792079%,33.3333333333%
NewAtEnd,word2vec_0.50,8,19.8275862069%,26.6666666667%
NewAtEnd,word2vec_0.50,9,18.1102362205%,0.0%
NewAtEnd,word2vec_0.50,10,16.2962962963%,0.0%
NewAtEnd,word2vec_0.50,11,15.5405405405%,23.0769230769%
NewAtEnd,word2vec_0.50,12,15.1898734177%,30.0%
NewAtEnd,word2vec_0.50,13,15.0602409639%,25.0%
NewAtEnd,word2vec_0.50,14,15.0%,26.4705882353%
NewAtEnd,word2vec_0.50,15,15.1785714286%,33.3333333333%
NewAtEnd,word2vec_0.50,16,15.3225806452%,29.1666666667%
NewAtEnd,word2vec_0.50,17,15.7692307692%,33.3333333333%
NewAtEnd,word2vec_0.60,1,25.0%,56.25%
NewAtEnd,word2vec_0.60,2,34.6153846154%,60.0%
NewAtEnd,word2vec_0.60,3,33.3333333333%,52.6315789474%
NewAtEnd,word2vec_0.60,4,34.4827586207%,46.1538461538%
NewAtEnd,word2vec_0.60,5,34.7826086957%,45.4545454545%
NewAtEnd,word2vec_0.60,6,37.6623376623%,62.5%
