dataset,method,timeSlice,GT_predict,new_TRUE
1RAHK5RD6A,word2vec_0.70,5,86.04651163,66.66666667
1RAHK5RD6A,word2vec_0.70,6,82.9787234,75
1RAHK5RD6A,word2vec_0.80,1,100,100
1RAHK5RD6A,word2vec_0.80,2,100,100
1RAHK5RD6A,word2vec_0.80,3,94.11764706,91.66666667
1RAHK5RD6A,word2vec_0.80,4,90,83.33333333
1RAHK5RD6A,word2vec_0.80,5,86.04651163,66.66666667
1RAHK5RD6A,word2vec_0.80,6,82.9787234,75
1RAHK5RD6A,word2vec_0.90,1,100,100
1RAHK5RD6A,word2vec_0.90,2,100,100
1RAHK5RD6A,word2vec_0.90,3,94.11764706,91.66666667
1RAHK5RD6A,word2vec_0.90,4,90,83.33333333
1RAHK5RD6A,word2vec_0.90,5,86.04651163,66.66666667
1RAHK5RD6A,word2vec_0.90,6,82.9787234,75
395B0MW3HU,word2vec_0.20,1,8.108108108,18.91891892
395B0MW3HU,word2vec_0.20,2,3.50877193,0
395B0MW3HU,word2vec_0.20,3,4.411764706,9.090909091
395B0MW3HU,word2vec_0.20,4,4.494382022,4.761904762
395B0MW3HU,word2vec_0.20,5,4.04040404,0
395B0MW3HU,word2vec_0.30,1,18.91891892,32.43243243
395B0MW3HU,word2vec_0.30,2,17.54385965,20
395B0MW3HU,word2vec_0.30,3,13.23529412,9.090909091
